MQ2,MQ135,MQ136,VOC,Odor
771,472,142,41,Gas Leak
800,401,108,51,Gas Leak
718,517,103,60,Gas Leak
811,516,128,59,Gas Leak
772,487,143,38,Gas Leak
736,414,111,54,Gas Leak
731,509,138,40,Gas Leak
710,514,118,37,Gas Leak
829,403,129,27,Gas Leak
780,402,115,26,Gas Leak
756,448,146,22,Gas Leak
751,466,132,39,Gas Leak
721,458,157,29,Gas Leak
838,483,103,43,Gas Leak
839,429,122,40,Gas Leak
721,432,153,58,Gas Leak
761,490,153,56,Gas Leak
701,452,146,24,Gas Leak
723,445,123,39,Gas Leak
742,478,143,44,Gas Leak
825,472,132,28,Gas Leak
782,449,112,26,Gas Leak
840,415,125,40,Gas Leak
830,425,139,45,Gas Leak
726,412,145,25,Gas Leak
741,439,131,20,Gas Leak
750,441,117,36,Gas Leak
721,445,105,60,Gas Leak
847,468,117,34,Gas Leak
785,447,159,47,Gas Leak
815,476,153,43,Gas Leak
829,464,100,40,Gas Leak
763,478,139,21,Gas Leak
795,409,137,49,Gas Leak
771,516,152,53,Gas Leak
721,499,142,24,Gas Leak
760,481,155,48,Gas Leak
716,514,129,58,Gas Leak
721,416,116,30,Gas Leak
794,461,110,40,Gas Leak
831,470,155,31,Gas Leak
741,514,159,50,Gas Leak
848,455,158,29,Gas Leak
811,492,136,23,Gas Leak
716,460,137,52,Gas Leak
837,460,100,38,Gas Leak
721,480,132,55,Gas Leak
790,407,102,29,Gas Leak
758,472,113,56,Gas Leak
753,482,153,38,Gas Leak
726,519,134,33,Gas Leak
794,400,104,42,Gas Leak
732,454,127,41,Gas Leak
775,463,128,49,Gas Leak
833,410,104,41,Gas Leak
812,429,115,51,Gas Leak
801,439,159,34,Gas Leak
846,465,158,32,Gas Leak
807,425,130,22,Gas Leak
783,476,127,47,Gas Leak
745,520,117,44,Gas Leak
788,486,103,28,Gas Leak
838,443,121,21,Gas Leak
821,473,120,34,Gas Leak
772,441,138,55,Gas Leak
747,432,146,43,Gas Leak
819,459,130,27,Gas Leak
715,450,136,46,Gas Leak
737,508,130,45,Gas Leak
768,493,144,46,Gas Leak
707,501,142,32,Gas Leak
716,468,133,22,Gas Leak
825,457,100,60,Gas Leak
752,477,143,35,Gas Leak
831,476,105,34,Gas Leak
730,516,155,58,Gas Leak
831,440,152,41,Gas Leak
824,402,117,43,Gas Leak
726,480,145,37,Gas Leak
836,461,135,46,Gas Leak
774,417,142,33,Gas Leak
737,455,146,53,Gas Leak
730,461,153,51,Gas Leak
743,443,127,42,Gas Leak
719,487,141,59,Gas Leak
762,518,119,31,Gas Leak
707,470,157,42,Gas Leak
811,400,118,41,Gas Leak
792,414,116,53,Gas Leak
702,503,123,35,Gas Leak
731,459,125,47,Gas Leak
768,482,134,44,Gas Leak
756,465,156,23,Gas Leak
815,471,107,40,Gas Leak
810,472,125,26,Gas Leak
783,441,122,26,Gas Leak
750,425,124,44,Gas Leak
724,484,132,22,Gas Leak
743,467,119,23,Gas Leak
722,498,152,55,Gas Leak
689,485,92,80,Smoke
665,568,104,91,Smoke
650,583,121,68,Smoke
648,552,90,63,Smoke
664,454,126,92,Smoke
760,535,114,76,Smoke
739,470,108,56,Smoke
683,469,125,85,Smoke
756,488,124,97,Smoke
